"fuel_economy_combined","eng_disp","num_cyl","transmission","num_gears","air_aspired_method","regen_brake","batt_capacity_ah","drive","fuel_type","cyl_deactivate","variable_valve"
0.238290496140097,0.285714285714286,0.230769230769231,"AS",0.777777777777778,"Supercharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)","N","Y"
0.162630879651115,0.285714285714286,0.230769230769231,"M",0.555555555555556,"Supercharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)","N","Y"
0.166491842603247,0.571428571428571,0.384615384615385,"AS",0.777777777777778,"Supercharged","Not applicable",0,"All Wheel Drive","Gasoline (Premium Unleaded Recommended)","N","Y"
0.166491842603247,0.571428571428571,0.384615384615385,"AS",0.777777777777778,"Supercharged","Not applicable",0,"All Wheel Drive","Gasoline (Premium Unleaded Recommended)","N","Y"
0.0077791410522925,0.785714285714286,0.692307692307692,"AMS",0.666666666666667,"Naturally Aspirated","Not applicable",0,"All Wheel Drive","Gasoline (Premium Unleaded Required)","Y","Y"
0.00506460014028305,0.785714285714286,0.692307692307692,"AMS",0.666666666666667,"Naturally Aspirated","Not applicable",0,"All Wheel Drive","Gasoline (Premium Unleaded Required)","Y","Y"
0.0952060063190952,0.6,0.538461538461538,"AMS",0.666666666666667,"Naturally Aspirated","Not applicable",0,"All Wheel Drive","Gasoline (Premium Unleaded Recommended)","Y","Y"
0.0898171870066518,0.6,0.538461538461538,"AMS",0.666666666666667,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)","Y","Y"
0.0952060063190952,0.6,0.538461538461538,"AMS",0.666666666666667,"Naturally Aspirated","Not applicable",0,"All Wheel Drive","Gasoline (Premium Unleaded Recommended)","Y","Y"
0.0898171870066518,0.6,0.538461538461538,"AMS",0.666666666666667,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)","Y","Y"
0.405418062610325,0.142857142857143,0.0769230769230769,"AS",0.555555555555556,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)","N","Y"
0.390868462374683,0.142857142857143,0.0769230769230769,"M",0.555555555555556,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)","N","Y"
0.15976376501103,0.428571428571429,0.384615384615385,"AM",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.15976376501103,0.428571428571429,0.384615384615385,"AM",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.145245950968737,0.428571428571429,0.384615384615385,"AM",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.145245950968737,0.428571428571429,0.384615384615385,"AM",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.130747208642454,0.428571428571429,0.384615384615385,"AM",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.158036715172398,0.428571428571429,0.384615384615385,"AM",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.158725416028294,0.642857142857143,0.384615384615385,"A",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.265166782156502,0.285714285714286,0.230769230769231,"A",0.888888888888889,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.258345465063795,0.285714285714286,0.230769230769231,"A",0.888888888888889,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.205624884775049,0.528571428571429,0.384615384615385,"A",0.888888888888889,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.342786547235343,0.142857142857143,0.0769230769230769,"A",0.888888888888889,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.236648209483729,0.385714285714286,0.230769230769231,"AS",0.666666666666667,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.198458157714615,0.385714285714286,0.230769230769231,"M",0.555555555555556,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.215296363871389,0.385714285714286,0.230769230769231,"AS",0.666666666666667,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.14426481713403,0.4,0.230769230769231,"AMS",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.133243484360133,0.428571428571429,0.230769230769231,"AMS",0.666666666666667,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.106259125286341,0.428571428571429,0.230769230769231,"M",0.555555555555556,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.123074021567992,0.428571428571429,0.230769230769231,"AMS",0.666666666666667,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.129861433387794,0.428571428571429,0.230769230769231,"M",0.555555555555556,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.104002305558558,0.428571428571429,0.230769230769231,"M",0.555555555555556,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.306501547987616,0.142857142857143,0.0769230769230769,"AMS",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.28433597582554,0.142857142857143,0.0769230769230769,"M",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.243598790429389,0.214285714285714,0.0769230769230769,"AMS",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.227226781775068,0.214285714285714,0.0769230769230769,"M",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.280197413451493,0.214285714285714,0.0769230769230769,"AMS",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.242202317001587,0.214285714285714,0.0769230769230769,"M",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.306501547987616,0.142857142857143,0.0769230769230769,"AMS",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.28433597582554,0.142857142857143,0.0769230769230769,"M",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.243598790429389,0.214285714285714,0.0769230769230769,"AMS",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.227226781775068,0.214285714285714,0.0769230769230769,"M",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.280197413451493,0.214285714285714,0.0769230769230769,"AMS",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.242202317001587,0.214285714285714,0.0769230769230769,"M",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.151092491465407,0.6,0.692307692307692,"AS",0.777777777777778,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)","Y","Y"
0.208116922333615,0.428571428571429,0.384615384615385,"AS",0.777777777777778,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)","N","Y"
0.136456008967945,0.6,0.692307692307692,"AS",0.777777777777778,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)","Y","Y"
0.114205673623605,0.714285714285714,0.692307692307692,"AS",0.777777777777778,"Naturally Aspirated","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)","N","Y"
0.0591816538568307,0.757142857142857,0.692307692307692,"AM",0.666666666666667,"Naturally Aspirated","Not applicable",0,"Part-time 4-Wheel Drive","Gasoline (Premium Unleaded Required)","N","Y"
0.135661354134218,0.414285714285714,0.384615384615385,"AM",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.160613515913228,0.414285714285714,0.384615384615385,"AM",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.350803025197975,0.0571428571428571,0.0769230769230769,"A",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)","N","Y"
0.406291123387645,0.0571428571428571,0.0769230769230769,"M",0.444444444444444,"Turbocharged","Not applicable",0,"2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)","N","Y"
0.350803025197975,0.0571428571428571,0.0769230769230769,"A",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)","N","Y"
0.406291123387645,0.0571428571428571,0.0769230769230769,"M",0.444444444444444,"Turbocharged","Not applicable",0,"2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)","N","Y"
0.408225843022825,0.0714285714285714,0,"AS",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)","N","Y"
0.441349175572098,0.0714285714285714,0,"M",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)","N","Y"
0.372849928904881,0.142857142857143,0.0769230769230769,"AS",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)","N","Y"
0.332235650123013,0.142857142857143,0.0769230769230769,"M",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)","N","Y"
0.372849928904881,0.142857142857143,0.0769230769230769,"AS",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)","N","Y"
0.312028107471239,0.142857142857143,0.0769230769230769,"M",0.555555555555556,"Turbocharged","Not applicable",0,"2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)","N","Y"
0.303452192505663,0.285714285714286,0.230769230769231,"AMS",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.267186264973946,0.285714285714286,0.230769230769231,"M",0.666666666666667,"Turbocharged","Not applicable",0,"2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)","N","Y"
0.294354983969163,0.285714285714286,0.230769230769231,"AMS",0.666666666666667,"Turbocharged","Not applicable",0,"4-Wheel Drive","Gasoline (Premium Unleaded Required)","N","Y"
0.256605700747823,0.285714285714286,0.230769230769231,"M",0.666666666666667,"Turbocharged","Not applicable",0,"4-Wheel Drive","Gasoline (Premium Unleaded Required)","N","Y"
0.283532844673588,0.285714285714286,0.230769230769231,"AMS",0.666666666666667,"Turbocharged","Not applicable",0,"4-Wheel Drive","Gasoline (Premium Unleaded Required)","N","Y"
0.249775907336889,0.285714285714286,0.230769230769231,"M",0.666666666666667,"Turbocharged","Not applicable",0,"4-Wheel Drive","Gasoline (Premium Unleaded Required)","N","Y"
0.243861556294408,0.285714285714286,0.230769230769231,"AMS",0.666666666666667,"Turbocharged","Not applicable",0,"4-Wheel Drive","Gasoline (Premium Unleaded Required)","N","Y"
0.226908919841578,0.285714285714286,0.230769230769231,"M",0.666666666666667,"Turbocharged","Not applicable",0,"4-Wheel Drive","Gasoline (Premium Unleaded Required)","N","Y"
0.2396233971812,0.285714285714286,0.230769230769231,"AMS",0.666666666666667,"Turbocharged","Not applicable",0,"4-Wheel Drive","Gasoline (Premium Unleaded Required)","N","Y"
0.22267076072837,0.285714285714286,0.230769230769231,"M",0.666666666666667,"Turbocharged","Not applicable",0,"4-Wheel Drive","Gasoline (Premium Unleaded Required)","N","Y"
